school_year,dpi_true_id,school_name,accurate_agency_type,school_enrollment,grade_band,overall_rating,overall_score,ly_ach,sch_ach,sch_growth,sch_tgo,sch_ot,prof_count_ELA,prof_count_Mathematics,prof_percent_ELA,prof_percent_Mathematics
2023-24,3619_0407,Carmen High School of Science and Technology South Campus,Non-Instrumentality Charter,399,9-12,Exceeds Expectations,72.7,FALSE,36.3,73.6,70,83.7,95,72,0.31666666666666665,0.24
2023-24,0000_3160,Saint Vincent Pallotti Catholic School,Private,169,K-8,Exceeds Expectations,72.7,FALSE,43.3,81.2,65.9,70.2,43,21,0.4095238095238095,0.2
2023-24,0000_8217,Siloah Lutheran School,Private,93,K-8,Exceeds Expectations,72.4,FALSE,20.5,74.6,NA,85,2,2,0.07142857142857142,0.07142857142857142
2023-24,8004_8113,Woodlands School,2r/2x Charter,370,K-8,Exceeds Expectations,72.3,TRUE,58,80.2,67.8,83,127,81,0.5669642857142857,0.36160714285714285
2023-24,3619_0277,Morgandale Elementary,Traditional Public,578,K-8,Exceeds Expectations,72.1,FALSE,27.3,87.9,61.4,63.2,93,74,0.25761772853185594,0.20498614958448755
2023-24,3619_0267,Maple Tree Elementary,Traditional Public,264,K-5,Exceeds Expectations,71.1,FALSE,16.3,87.9,65,57.9,10,7,0.136986301369863,0.0958904109589041
2023-24,8013_8129,Milwaukee Scholars Charter School,2r/2x Charter,769,K-8,Exceeds Expectations,71.1,FALSE,28.6,85.9,62.4,61.7,86,86,0.22811671087533156,0.22811671087533156
2023-24,0000_1491,Destiny High School,Private,243,9-12,Exceeds Expectations,71,FALSE,8.9,89.8,67.4,47.3,5,3,0.031446540880503145,0.018867924528301886
2023-24,3619_0501,Craig Montessori School,Traditional Public,257,K-8,Exceeds Expectations,70.9,FALSE,19.2,85,62.4,64.5,21,13,0.19811320754716982,0.12264150943396226
2023-24,0000_1507,Blessed Savior Catholic School,Private,271,K-8,Exceeds Expectations,70.7,FALSE,24.2,82.2,69.4,60.4,40,37,0.16877637130801687,0.15611814345991562
2023-24,3619_0155,Fairview Elementary,Traditional Public,628,K-8,Exceeds Expectations,70.6,FALSE,43.8,82.2,54.9,70.9,168,143,0.44919786096256686,0.38235294117647056
2023-24,3619_0214,Hayes Bilingual School,Traditional Public,638,K-8,Exceeds Expectations,70.5,TRUE,22.3,81.2,65.7,65.7,64,49,0.17777777777777778,0.1361111111111111
2023-24,3619_0368,Trowbridge Street School of Great Lakes Studies,Traditional Public,236,K-8,Exceeds Expectations,70.2,FALSE,37.7,77.4,69.5,64.5,38,45,0.25165562913907286,0.2980132450331126
2023-24,0000_7400,Saint Peter Immanuel Lutheran School,Private,177,K-8,Exceeds Expectations,70,FALSE,33.2,82.2,59.3,65.9,13,10,0.18571428571428572,0.14285714285714285
2023-24,8006_8101,Downtown Montessori,2r/2x Charter,239,K-8,Meets Expectations,69.9,TRUE,73.7,56.5,57.6,83,77,53,0.6814159292035398,0.4690265486725664
2023-24,0000_1305,Christ St Peter Lutheran School,Private,235,K-8,Meets Expectations,69.8,FALSE,35.8,82.2,59.3,64.6,51,48,0.3227848101265823,0.3037974683544304
2023-24,3619_0117,Cooper Elementary,Traditional Public,459,K-8,Meets Expectations,69.8,FALSE,60.4,72.7,55.3,81.1,128,128,0.5378151260504201,0.5378151260504201
2023-24,0000_1301,Atonement Lutheran School,Private,410,K-8,Meets Expectations,69.6,FALSE,28.2,76.4,66.8,68.3,54,42,0.25471698113207547,0.19811320754716982
2023-24,0000_1712,Cristo Rey Jesuit Milwaukee High School,Private,460,9-12,Meets Expectations,69.5,FALSE,46.7,62.2,70.2,92,93,136,0.2743362831858407,0.40117994100294985
2023-24,3619_0880,HAPA-Hmong American Peace Academy K3-12,Non-Instrumentality Charter,1894,K-12,Meets Expectations,68.9,FALSE,54.2,67,62,82.2,574,608,0.4484375,0.475
2023-24,3619_0377,Jackson Elementary,Traditional Public,216,K-5,Meets Expectations,68.8,TRUE,9.4,84.1,NA,45.2,4,3,0.056338028169014086,0.04225352112676056
2023-24,3619_0362,Milwaukee Parkside School,Traditional Public,853,K-8,Meets Expectations,68.6,FALSE,39.8,75.5,59.4,71,180,132,0.37422037422037424,0.27442827442827444
2023-24,3619_0029,Riverside High,Traditional Public,1162,9-12,Meets Expectations,68.1,FALSE,20.8,70.8,74.2,66.1,99,63,0.12563451776649745,0.0799492385786802
2023-24,8002_8133,Rocketship Southside Community Prep,2r/2x Charter,398,K-5,Meets Expectations,68.1,FALSE,37.5,76.4,61.2,66,37,53,0.24025974025974026,0.34415584415584416
2023-24,3619_0256,Longfellow Elementary,Traditional Public,718,K-8,Meets Expectations,68,TRUE,22.2,78.4,66.8,59.7,72,40,0.18997361477572558,0.10554089709762533
2023-24,3619_0390,Vieau Elementary,Traditional Public,684,K-8,Meets Expectations,67.9,FALSE,31.8,70.8,68.6,69.3,95,83,0.2235294117647059,0.1952941176470588
2023-24,3619_0014,Bradley Technology High,Traditional Public,999,9-12,Meets Expectations,67.4,FALSE,15.4,81.2,66.3,49.6,40,32,0.062402496099843996,0.0499219968798752
2023-24,3619_0098,Burdick Elementary,Traditional Public,495,K-8,Meets Expectations,67.2,FALSE,42.6,69.8,59.5,75.2,154,100,0.4782608695652174,0.3105590062111801
2023-24,0000_8720,Wisconsin Lutheran High School,Private,561,9-12,Meets Expectations,67.2,FALSE,63.6,62.2,61.2,87.8,234,247,0.5282167042889391,0.5575620767494357
2023-24,3619_0038,Milwaukee High School of the Arts,Traditional Public,985,9-12,Meets Expectations,67,FALSE,25.1,69.8,68.1,69.9,162,71,0.22913719943422914,0.10042432814710042
2023-24,3619_0413,Alliance School of Milwaukee,Instrumentality Charter,155,9-12,Meets Expectations,66.9,TRUE,24.3,80.2,NA,35.9,6,7,0.075,0.0875
2023-24,3619_0387,Victory Elementary,Traditional Public,421,K-8,Meets Expectations,66.9,FALSE,29.8,73.6,62.8,66.4,60,49,0.23529411764705882,0.19215686274509805
2023-24,3619_0125,Doerfler Elementary,Traditional Public,550,K-8,Meets Expectations,66.7,FALSE,20.9,79.3,57.4,62.5,57,51,0.18037974683544303,0.16139240506329114
2023-24,3619_0356,Bethune Academy,Traditional Public,525,K-8,Meets Expectations,66.6,FALSE,19.1,76.5,65.4,59.6,54,36,0.16119402985074627,0.10746268656716418
2023-24,3619_0202,Greenfield Bilingual,Traditional Public,555,K-8,Meets Expectations,66.6,TRUE,31.5,75.5,56.6,67.7,79,60,0.22832369942196531,0.17341040462427745
2023-24,3619_0165,IDEAL Individualized Developmental Educational Approaches to Learning,Instrumentality Charter,216,K-8,Meets Expectations,66.6,FALSE,41.8,70.8,59.7,70.7,48,49,0.32653061224489793,0.3333333333333333
2023-24,3619_0870,MacDowell Montessori School K3-12,Traditional Public,860,K-12,Meets Expectations,66.5,FALSE,30.6,73.6,61.8,65.6,149,87,0.33184855233853006,0.19376391982182628
